Dataset,Model,Alpha,Accuracy,Precision,Recall,F1_Score
medqa,source,0.0,0.6060606060606061,0.6011363636363636,0.6137820512820513,0.58673273657289
medqa,source,0.2,0.5454545454545454,0.5458333333333333,0.5392628205128205,0.5142735042735043
medqa,source,0.4,0.5151515151515151,0.5132575757575757,0.5200320512820513,0.49101592851592857
medqa,source,0.5,0.5454545454545454,0.5393939393939393,0.5512820512820513,0.5266583906289789
medqa,source,0.6,0.5151515151515151,0.5132575757575758,0.5200320512820513,0.4918650793650794
medqa,source,0.8,0.5151515151515151,0.5794871794871794,0.532051282051282,0.5120137299771167
medqa,source,1.0,0.5151515151515151,0.5375,0.532051282051282,0.5065031586770717
medqa,claim,0.0,0.5757575757575758,0.6243506493506493,0.5584935897435898,0.5409982174688057
medqa,claim,0.2,0.48484848484848486,0.479059829059829,0.4783653846153846,0.4666666666666667
medqa,claim,0.4,0.48484848484848486,0.522159090909091,0.500801282051282,0.4802246985750822
medqa,claim,0.5,0.5151515151515151,0.5833333333333333,0.532051282051282,0.5221014492753623
medqa,claim,0.6,0.5454545454545454,0.5707792207792208,0.5737179487179488,0.5467243753688767
medqa,claim,0.8,0.5151515151515151,0.5375,0.532051282051282,0.5065031586770717
medqa,claim,1.0,0.5151515151515151,0.5375,0.532051282051282,0.5065031586770717
medmcqa,source,0.0,0.7272727272727273,0.7142857142857143,0.6895833333333333,0.6805076628352491
medmcqa,source,0.2,0.6666666666666666,0.6532051282051282,0.6416666666666667,0.6242063492063492
medmcqa,source,0.4,0.6666666666666666,0.6214285714285714,0.6416666666666667,0.6229885057471264
medmcqa,source,0.5,0.7272727272727273,0.6747159090909091,0.6645833333333333,0.6438879456706281
medmcqa,source,0.6,0.7575757575757576,0.753125,0.70625,0.7184075780849974
medmcqa,source,0.8,0.7272727272727273,0.6822916666666666,0.675,0.6736480075901329
medmcqa,source,1.0,0.6363636363636364,0.5660539215686275,0.5854166666666666,0.5659722222222222
medmcqa,claim,0.0,0.7272727272727273,0.7083333333333333,0.6791666666666666,0.6905721966205837
medmcqa,claim,0.2,0.6666666666666666,0.60625,0.6270833333333333,0.60625
medmcqa,claim,0.4,0.6363636363636364,0.5776785714285714,0.6104166666666667,0.586814263322884
medmcqa,claim,0.5,0.7272727272727273,0.6896825396825397,0.6604166666666668,0.6565656565656566
medmcqa,claim,0.6,0.7272727272727273,0.7072478991596639,0.6854166666666667,0.693655303030303
medmcqa,claim,0.8,0.7272727272727273,0.6896825396825397,0.6604166666666668,0.6565656565656566
medmcqa,claim,1.0,0.6363636363636364,0.5660539215686275,0.5854166666666666,0.5659722222222222
pubmedqa,source,0.0,0.42424242424242425,0.26990553306342785,0.2996031746031746,0.2785714285714286
pubmedqa,source,0.2,0.3939393939393939,0.21095008051529787,0.23214285714285712,0.22103386809269163
pubmedqa,source,0.4,0.3939393939393939,0.2352092352092352,0.25793650793650796,0.24477861319966585
pubmedqa,source,0.5,0.3333333333333333,0.18903318903318903,0.20039682539682538,0.19381787802840433
pubmedqa,source,0.6,0.42424242424242425,0.24848484848484845,0.2738095238095238,0.26012058570198104
pubmedqa,source,0.8,0.42424242424242425,0.2571428571428571,0.2738095238095238,0.26455026455026454
pubmedqa,source,1.0,0.36363636363636365,0.19999999999999998,0.21626984126984128,0.2075796726959518
pubmedqa,claim,0.0,0.5151515151515151,0.47301587301587306,0.4146825396825397,0.42857142857142855
pubmedqa,claim,0.2,0.45454545454545453,0.26247987117552335,0.2896825396825397,0.27540106951871657
pubmedqa,claim,0.4,0.3939393939393939,0.21095008051529787,0.23214285714285712,0.22103386809269163
pubmedqa,claim,0.5,0.3939393939393939,0.21095008051529787,0.23214285714285712,0.22103386809269163
pubmedqa,claim,0.6,0.42424242424242425,0.26060606060606056,0.2738095238095238,0.2652973898160034
pubmedqa,claim,0.8,0.3939393939393939,0.21885521885521886,0.23214285714285712,0.22526219790241678
pubmedqa,claim,1.0,0.36363636363636365,0.19999999999999998,0.21626984126984128,0.2075796726959518
